title,size,price,bedrooms,bathrooms
فيلا للبيع في الرياض,643.0,1650000.0,4.0,5.0
فيلا للبيع في شارع الدهناء ، الرياض,475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في حي الندى ، الرياض,510.0,1895102.5614597956,4.70312813314618,5.0
فيلا للبيع في الرياض,210.0,1100000.0,5.0,5.0
فيلا للبيع في الرياض,400.0,1900000.0,4.0,5.0
فيلا للبيع في الرياض,319.0,1450000.0,4.0,4.0
فيلا للبيع في حي النرجس ، الرياض,222.0,1400000.0,4.0,4.449167836374574
فيلا للبيع في شارع نجم الدين الايوبي ، الرياض,300.0,920000.0,5.0,5.0
فيلا للبيع في الرياض,312.0,950000.0,5.0,5.0
فيلا للبيع في الرياض,200.0,830000.0,4.70312813314618,5.0
فيلا للبيع في شارع الحيال ، حي النهضة ، الرياض,360.0,1350000.0,4.70312813314618,4.0
فيلا للبيع في حي الشرق ، الرياض,420.0,1300000.0,5.0,4.449167836374574
فيلا للبيع في الرياض,502.0,1895102.5614597956,5.0,5.0
فيلا للبيع في الرياض,330.0,1250000.0,5.0,4.0
فيلا للبيع في شارع رقم 8 ، الرياض,440.0,1895102.5614597956,5.0,5.0
فيلا للبيع في الرياض,225.0,1200000.0,3.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,300.0,1200000.0,5.0,5.0
فيلا للبيع في شارع محمد بن ابي العباس ، حي المونسية ، الرياض,286.0,1100000.0,5.0,5.0
فيلا للبيع في طريق السيل الكبير ، الرياض,200.0,880000.0,4.70312813314618,5.0
فيلا للبيع في الرياض,400.0,1300000.0,5.0,5.0
فيلا للبيع في طريق ابي بكر الصديق ، الرياض,475.6799679165831,1895102.5614597956,6.0,5.0
فيلا للبيع في شارع الحسن المروزي ، الرياض,308.0,1650000.0,5.0,4.0
فيلا للبيع في الرياض,300.0,1700000.0,4.0,4.0
فيلا للبيع في شارع الجوزي ، حي اليرموك ، الرياض,312.0,1400000.0,4.0,5.0
فيلا للبيع في الرياض,354.0,1940000.0,4.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,276.0,1700000.0,5.0,4.0
فيلا للبيع في طريق السيل الكبير ، الرياض,200.0,840000.0,6.0,4.0
فيلا للبيع في شارع الرقة ، حي العزيزية ، الرياض,325.0,1250000.0,5.0,4.0
فيلا للبيع في شارع الذهبي ، الرياض,420.0,1100000.0,5.0,5.0
فيلا للبيع في طريق الجنادرية ، حي الشرق ، الرياض,450.0,1400000.0,5.0,5.0
فيلا للبيع في شارع ابراهيم البرهان ، الرياض,340.0,1150000.0,4.0,4.0
فيلا للبيع في المملكة العربية السعودية,200.0,850000.0,4.0,5.0
فيلا للبيع في الرياض,375.0,1220000.0,5.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,370.0,2100000.0,4.0,4.0
فيلا للبيع في الرياض,425.0,1850000.0,4.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,300.0,1600000.0,4.0,4.0
فيلا للبيع في الرياض,225.0,1180000.0,5.0,5.0
فيلا للبيع في الرياض,375.0,1180000.0,5.0,5.0
فيلا للبيع في شارع بشير السعداوي ، حي الخزامى ، الرياض,475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في شارع عمر بن وهب ، الرياض,360.0,1250000.0,5.0,5.0
فيلا للبيع في شارع جبل الارام ، الرياض,480.0,2250000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,200.0,1270000.0,5.0,5.0
فيلا للبيع في الرياض,200.0,780000.0,5.0,5.0
فيلا للبيع في حي طويق ، الرياض,242.0,850000.0,5.0,5.0
فيلا للبيع في شارع جبل اخزم ، حي النخيل ، الرياض,475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في الرياض,325.0,1250000.0,4.0,3.0
فيلا للبيع في شارع ممر 508 ، الرياض,375.0,2000000.0,4.0,4.0
فيلا للبيع في شارع 246 ، الرياض,475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,300.0,950000.0,5.0,4.0
