time_duration,neighborhood
0 days 06:00:00,النرجس
3 days 00:00:00,العليا
0 days 13:00:00,الرمال
60 days 20:00:00,النرجس
30 days 10:00:00,العزيزية
6 days 00:00:00,المهدية
6 days 00:00:00,الحزم
0 days 09:00:00,طويق
1 days 00:00:00,القدس
1 days 00:00:00,الحزم
0 days 19:00:00,طويق
7 days 00:00:00,الغربي
1 days 00:00:00,طويق
0 days 01:00:00,القيروان
4 days 00:00:00,الخليج
30 days 10:00:00,طويق
60 days 20:00:00,الجنادرية
0 days 09:00:00,طويق
7 days 00:00:00,الورود
0 days 11:00:00,طويق
30 days 10:00:00,الحزم
6 days 00:00:00,المهدية
91 days 06:00:00,بدر
21 days 00:00:00,الياسمين
3 days 00:00:00,طويق
1 days 00:00:00,نمار
4 days 00:00:00,المهدية
0 days 00:11:00,المهدية
3 days 00:00:00,الفيحاء
30 days 10:00:00,الرمال
0 days 06:00:00,حطين
21 days 00:00:00,المونسية
0 days 06:00:00,طويق
0 days 12:00:00,القيروان
7 days 00:00:00,طويق
3 days 00:00:00,العقيق
4 days 00:00:00,المونسية
6 days 00:00:00,المهدية
14 days 00:00:00,القيروان
0 days 06:00:00,العارض
0 days 06:00:00,النرجس
30 days 10:00:00,طويق
1 days 00:00:00,الشهداء
2 days 00:00:00,الملقا
7 days 00:00:00,فهد
0 days 23:00:00,العارض
91 days 06:00:00,طويق
1 days 00:00:00,العزيزية
1 days 00:00:00,طويق
0 days 11:00:00,العارض
30 days 10:00:00,الفلاح
5 days 00:00:00,النفل
0 days 23:00:00,الملقا
3 days 00:00:00,طويق
0 days 11:00:00,النخيل
0 days 07:00:00,طويق
0 days 00:36:00,العارض
7 days 00:00:00,عكاظ
0 days 21:00:00,المونسية
91 days 06:00:00,الجنادرية
30 days 10:00:00,الملقا
14 days 00:00:00,طويق
0 days 08:00:00,طويق
14 days 00:00:00,الحزم
2 days 00:00:00,الجنادرية
0 days 05:00:00,طويق
4 days 00:00:00,القيروان
14 days 00:00:00,طويق
1 days 00:00:00,عكاظ
0 days 15:00:00,القادسية
0 days 12:00:00,القيروان
30 days 10:00:00,طويق
1 days 00:00:00,الياسمين
14 days 00:00:00,العارض
0 days 12:00:00,الملقا
0 days 14:00:00,عبدالله
0 days 03:00:00,الملقا
0 days 12:00:00,الملقا
0 days 07:00:00,العارض
60 days 20:00:00,الياسمين
2 days 00:00:00,الرمال
0 days 08:00:00,طويق
1 days 00:00:00,طويق
1 days 00:00:00,الفيحاء
3 days 00:00:00,طويق
60 days 20:00:00,لبن
4 days 00:00:00,البيضاء
4 days 00:00:00,الدولي
1 days 00:00:00,المهدية
30 days 10:00:00,طويق
4 days 00:00:00,الشرق
0 days 07:00:00,العارض
0 days 06:00:00,طويق
0 days 11:00:00,الملقا
7 days 00:00:00,نمار
0 days 07:00:00,المهدية
1 days 00:00:00,العارض
60 days 20:00:00,النرجس
0 days 09:00:00,العارض
60 days 20:00:00,المهدية
4 days 00:00:00,النرجس
0 days 06:00:00,العارض
0 days 19:00:00,الملقا
7 days 00:00:00,النظيم
0 days 07:00:00,الملقا
3 days 00:00:00,الرمال
1 days 00:00:00,طويق
4 days 00:00:00,طويق
0 days 12:00:00,طويق
2 days 00:00:00,ديراب
0 days 06:00:00,النرجس
0 days 11:00:00,الحزم
2 days 00:00:00,المرسلات
0 days 05:00:00,فهد
30 days 10:00:00,الحزم
0 days 07:00:00,المهدية
3 days 00:00:00,الملقا
14 days 00:00:00,الشرق
0 days 07:00:00,الشرق
0 days 06:00:00,القيروان
7 days 00:00:00,الملقا
1 days 00:00:00,البيضاء
0 days 02:00:00,حطين
1 days 00:00:00,طويق
28 days 00:00:00,النرجس
30 days 10:00:00,نمار
0 days 06:00:00,طويق
6 days 00:00:00,المهدية
0 days 06:00:00,القيروان
6 days 00:00:00,الرمال
30 days 10:00:00,طويق
4 days 00:00:00,النخيل
4 days 00:00:00,الورود
30 days 10:00:00,السليمانية
7 days 00:00:00,الملقا
7 days 00:00:00,الرمال
60 days 20:00:00,الرمال
0 days 06:00:00,الملقا
7 days 00:00:00,الجنادرية
0 days 00:35:00,الملقا
3 days 00:00:00,الملقا
7 days 00:00:00,الياسمين
0 days 06:00:00,المونسية
0 days 07:00:00,المهدية
30 days 10:00:00,المهدية
0 days 10:00:00,طويق
5 days 00:00:00,الياسمين
